hours_relax_per_day,mental_health,hours_worked_per_week,degree,marijuana
1,0,50,BACHELOR,NOT LEGAL
3,0,35,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
3,0,50,GRADUATE,LEGAL
5,7,40,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,9,GRADUATE,NOT LEGAL
3,0,45,GRADUATE,LEGAL
5,0,31,HIGH SCHOOL,LEGAL
2,0,12,GRADUATE,NOT LEGAL
5,0,48,HIGH SCHOOL,NOT LEGAL
4,0,45,HIGH SCHOOL,LEGAL
5,0,40,JUNIOR COLLEGE,NOT LEGAL
0,30,60,HIGH SCHOOL,LEGAL
1,0,40,BACHELOR,LEGAL
2,0,40,HIGH SCHOOL,LEGAL
5,5,40,GRADUATE,NOT LEGAL
2,0,60,BACHELOR,NOT LEGAL
7,3,40,HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
5,0,55,GRADUATE,NOT LEGAL
2,2,45,GRADUATE,LEGAL
5,0,25,HIGH SCHOOL,LEGAL
7,2,27,HIGH SCHOOL,NOT LEGAL
1,5,60,BACHELOR,LEGAL
3,2,50,BACHELOR,NOT LEGAL
3,10,41,LESS THAN HIGH SCHOOL,NOT LEGAL
3,0,48,HIGH SCHOOL,NOT LEGAL
8,0,41,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,LEGAL
0,0,50,HIGH SCHOOL,NOT LEGAL
0,15,50,HIGH SCHOOL,NOT LEGAL
4,15,51,HIGH SCHOOL,LEGAL
4,4,40,GRADUATE,NOT LEGAL
8,0,37,BACHELOR,LEGAL
2,0,75,HIGH SCHOOL,NOT LEGAL
1,0,38,GRADUATE,LEGAL
4,5,40,HIGH SCHOOL,NOT LEGAL
8,1,40,HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
4,0,39,JUNIOR COLLEGE,LEGAL
6,0,40,BACHELOR,LEGAL
0,0,19,LESS THAN HIGH SCHOOL,LEGAL
5,30,48,HIGH SCHOOL,NOT LEGAL
6,0,40,JUNIOR COLLEGE,LEGAL
1,15,45,HIGH SCHOOL,LEGAL
2,5,40,GRADUATE,LEGAL
2,0,60,BACHELOR,NOT LEGAL
4,0,60,GRADUATE,NOT LEGAL
5,0,25,HIGH SCHOOL,LEGAL
8,0,55,HIGH SCHOOL,LEGAL
4,5,40,BACHELOR,LEGAL
6,4,9,JUNIOR COLLEGE,LEGAL
8,0,28,HIGH SCHOOL,LEGAL
5,0,20,HIGH SCHOOL,NOT LEGAL
7,0,20,HIGH SCHOOL,LEGAL
2,30,30,HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
8,25,16,HIGH SCHOOL,LEGAL
3,1,30,HIGH SCHOOL,NOT LEGAL
2,0,62,JUNIOR COLLEGE,LEGAL
8,0,40,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,40,GRADUATE,LEGAL
9,0,45,HIGH SCHOOL,LEGAL
4,0,38,BACHELOR,NOT LEGAL
2,4,50,BACHELOR,LEGAL
4,0,20,GRADUATE,NOT LEGAL
6,0,40,BACHELOR,LEGAL
2,2,45,GRADUATE,NOT LEGAL
4,25,10,GRADUATE,LEGAL
2,1,60,GRADUATE,LEGAL
2,0,37,BACHELOR,LEGAL
1,0,50,BACHELOR,LEGAL
1,1,50,BACHELOR,LEGAL
3,3,27,HIGH SCHOOL,NOT LEGAL
2,4,60,BACHELOR,NOT LEGAL
5,0,40,BACHELOR,LEGAL
6,0,35,HIGH SCHOOL,LEGAL
4,30,40,HIGH SCHOOL,LEGAL
2,3,37,BACHELOR,LEGAL
5,0,50,HIGH SCHOOL,NOT LEGAL
4,4,52,BACHELOR,LEGAL
3,0,52,BACHELOR,LEGAL
2,5,60,BACHELOR,NOT LEGAL
4,12,40,BACHELOR,NOT LEGAL
20,0,35,BACHELOR,NOT LEGAL
3,0,60,HIGH SCHOOL,LEGAL
5,0,60,BACHELOR,LEGAL
3,0,50,HIGH SCHOOL,LEGAL
2,0,65,BACHELOR,NOT LEGAL
1,1,60,JUNIOR COLLEGE,NOT LEGAL
4,2,40,JUNIOR COLLEGE,NOT LEGAL
6,0,43,BACHELOR,LEGAL
3,1,45,BACHELOR,NOT LEGAL
6,0,36,BACHELOR,NOT LEGAL
4,10,40,BACHELOR,NOT LEGAL
7,10,42,HIGH SCHOOL,NOT LEGAL
4,0,50,HIGH SCHOOL,LEGAL
2,0,35,HIGH SCHOOL,LEGAL
4,0,20,GRADUATE,NOT LEGAL
1,20,40,HIGH SCHOOL,LEGAL
5,5,40,BACHELOR,NOT LEGAL
2,20,30,JUNIOR COLLEGE,NOT LEGAL
4,0,48,LESS THAN HIGH SCHOOL,LEGAL
0,15,80,JUNIOR COLLEGE,NOT LEGAL
2,2,50,LESS THAN HIGH SCHOOL,NOT LEGAL
3,2,35,BACHELOR,NOT LEGAL
12,0,42,HIGH SCHOOL,NOT LEGAL
4,7,42,LESS THAN HIGH SCHOOL,NOT LEGAL
3,0,50,HIGH SCHOOL,NOT LEGAL
6,0,22,HIGH SCHOOL,LEGAL
2,0,9,BACHELOR,LEGAL
2,7,50,LESS THAN HIGH SCHOOL,NOT LEGAL
4,30,25,HIGH SCHOOL,NOT LEGAL
0,0,32,LESS THAN HIGH SCHOOL,LEGAL
0,0,7,JUNIOR COLLEGE,NOT LEGAL
3,0,45,HIGH SCHOOL,LEGAL
1,2,45,HIGH SCHOOL,LEGAL
3,0,40,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,40,JUNIOR COLLEGE,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
2,0,52,HIGH SCHOOL,LEGAL
4,0,44,HIGH SCHOOL,LEGAL
1,10,50,HIGH SCHOOL,LEGAL
3,0,35,HIGH SCHOOL,LEGAL
2,0,32,JUNIOR COLLEGE,LEGAL
4,0,40,BACHELOR,NOT LEGAL
2,15,57,HIGH SCHOOL,LEGAL
4,4,50,HIGH SCHOOL,LEGAL
4,0,35,BACHELOR,NOT LEGAL
2,0,60,JUNIOR COLLEGE,LEGAL
2,2,40,HIGH SCHOOL,NOT LEGAL
1,4,50,HIGH SCHOOL,NOT LEGAL
2,0,15,HIGH SCHOOL,LEGAL
5,0,9,HIGH SCHOOL,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
2,30,50,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
3,0,40,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,48,LESS THAN HIGH SCHOOL,NOT LEGAL
2,0,70,HIGH SCHOOL,NOT LEGAL
12,0,44,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
7,3,30,HIGH SCHOOL,NOT LEGAL
6,0,40,HIGH SCHOOL,LEGAL
6,1,56,BACHELOR,LEGAL
8,0,39,HIGH SCHOOL,LEGAL
3,0,72,LESS THAN HIGH SCHOOL,LEGAL
4,4,50,BACHELOR,LEGAL
1,15,40,GRADUATE,LEGAL
6,0,40,HIGH SCHOOL,NOT LEGAL
1,0,35,HIGH SCHOOL,NOT LEGAL
2,0,40,BACHELOR,LEGAL
1,5,48,BACHELOR,LEGAL
1,7,36,BACHELOR,LEGAL
1,5,85,GRADUATE,LEGAL
4,0,40,BACHELOR,NOT LEGAL
2,0,9,JUNIOR COLLEGE,NOT LEGAL
0,0,10,HIGH SCHOOL,LEGAL
0,0,46,HIGH SCHOOL,LEGAL
2,15,40,HIGH SCHOOL,LEGAL
3,2,42,HIGH SCHOOL,LEGAL
2,0,30,BACHELOR,NOT LEGAL
5,5,30,BACHELOR,LEGAL
4,0,45,BACHELOR,LEGAL
2,5,40,HIGH SCHOOL,NOT LEGAL
2,4,89,HIGH SCHOOL,LEGAL
2,20,52,HIGH SCHOOL,LEGAL
5,0,24,HIGH SCHOOL,NOT LEGAL
0,0,48,LESS THAN HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
0,30,40,LESS THAN HIGH SCHOOL,NOT LEGAL
2,21,14,LESS THAN HIGH SCHOOL,LEGAL
2,30,35,HIGH SCHOOL,LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
6,15,50,HIGH SCHOOL,NOT LEGAL
8,0,6,GRADUATE,NOT LEGAL
12,0,60,LESS THAN HIGH SCHOOL,LEGAL
0,0,32,HIGH SCHOOL,LEGAL
1,1,40,GRADUATE,NOT LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
6,10,9,HIGH SCHOOL,LEGAL
3,0,40,BACHELOR,LEGAL
10,0,30,HIGH SCHOOL,NOT LEGAL
1,0,50,HIGH SCHOOL,LEGAL
2,0,40,JUNIOR COLLEGE,LEGAL
0,0,48,HIGH SCHOOL,LEGAL
2,0,60,GRADUATE,NOT LEGAL
5,0,50,BACHELOR,LEGAL
4,2,65,HIGH SCHOOL,LEGAL
5,4,42,BACHELOR,NOT LEGAL
1,2,44,HIGH SCHOOL,NOT LEGAL
3,0,43,BACHELOR,NOT LEGAL
6,15,50,HIGH SCHOOL,LEGAL
10,1,20,GRADUATE,NOT LEGAL
6,6,45,HIGH SCHOOL,LEGAL
2,0,43,HIGH SCHOOL,LEGAL
2,8,20,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,NOT LEGAL
1,5,40,GRADUATE,LEGAL
4,5,60,BACHELOR,NOT LEGAL
0,11,89,HIGH SCHOOL,NOT LEGAL
1,0,50,GRADUATE,LEGAL
5,0,50,HIGH SCHOOL,NOT LEGAL
5,5,45,HIGH SCHOOL,LEGAL
2,0,89,BACHELOR,LEGAL
2,5,55,GRADUATE,LEGAL
3,0,89,HIGH SCHOOL,LEGAL
3,10,40,JUNIOR COLLEGE,NOT LEGAL
3,5,32,JUNIOR COLLEGE,LEGAL
3,1,40,HIGH SCHOOL,NOT LEGAL
5,5,27,JUNIOR COLLEGE,LEGAL
1,10,40,HIGH SCHOOL,NOT LEGAL
3,0,55,GRADUATE,LEGAL
6,15,38,HIGH SCHOOL,NOT LEGAL
2,0,40,HIGH SCHOOL,NOT LEGAL
1,20,35,HIGH SCHOOL,NOT LEGAL
3,5,50,HIGH SCHOOL,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
4,0,41,HIGH SCHOOL,LEGAL
5,0,52,HIGH SCHOOL,LEGAL
3,0,89,GRADUATE,NOT LEGAL
1,0,40,BACHELOR,NOT LEGAL
6,0,20,HIGH SCHOOL,LEGAL
4,15,36,JUNIOR COLLEGE,NOT LEGAL
3,7,40,HIGH SCHOOL,NOT LEGAL
3,6,89,JUNIOR COLLEGE,NOT LEGAL
2,0,29,HIGH SCHOOL,NOT LEGAL
4,0,14,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,55,HIGH SCHOOL,LEGAL
3,0,40,BACHELOR,NOT LEGAL
3,5,60,GRADUATE,LEGAL
3,0,40,BACHELOR,LEGAL
1,0,40,HIGH SCHOOL,LEGAL
3,0,40,HIGH SCHOOL,NOT LEGAL
2,3,48,HIGH SCHOOL,NOT LEGAL
5,15,40,JUNIOR COLLEGE,LEGAL
3,0,40,HIGH SCHOOL,LEGAL
5,0,27,HIGH SCHOOL,NOT LEGAL
3,0,40,GRADUATE,NOT LEGAL
4,0,68,HIGH SCHOOL,LEGAL
12,0,40,HIGH SCHOOL,NOT LEGAL
3,0,46,JUNIOR COLLEGE,NOT LEGAL
0,3,40,HIGH SCHOOL,NOT LEGAL
6,0,70,HIGH SCHOOL,NOT LEGAL
1,2,40,HIGH SCHOOL,NOT LEGAL
3,0,32,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
2,5,48,HIGH SCHOOL,NOT LEGAL
3,2,36,HIGH SCHOOL,NOT LEGAL
6,0,32,HIGH SCHOOL,LEGAL
2,1,67,LESS THAN HIGH SCHOOL,LEGAL
1,10,40,JUNIOR COLLEGE,NOT LEGAL
3,0,40,BACHELOR,NOT LEGAL
1,15,47,HIGH SCHOOL,NOT LEGAL
0,0,39,LESS THAN HIGH SCHOOL,NOT LEGAL
12,0,15,HIGH SCHOOL,NOT LEGAL
4,0,43,HIGH SCHOOL,LEGAL
5,0,50,BACHELOR,LEGAL
6,2,30,HIGH SCHOOL,LEGAL
2,0,50,HIGH SCHOOL,LEGAL
2,3,40,GRADUATE,LEGAL
5,3,40,BACHELOR,NOT LEGAL
6,1,40,BACHELOR,NOT LEGAL
3,0,50,HIGH SCHOOL,NOT LEGAL
1,0,40,HIGH SCHOOL,NOT LEGAL
6,0,28,HIGH SCHOOL,LEGAL
2,3,40,HIGH SCHOOL,LEGAL
1,0,50,HIGH SCHOOL,NOT LEGAL
5,0,40,BACHELOR,NOT LEGAL
5,0,49,HIGH SCHOOL,NOT LEGAL
5,7,48,HIGH SCHOOL,LEGAL
0,0,42,HIGH SCHOOL,NOT LEGAL
3,4,35,HIGH SCHOOL,NOT LEGAL
0,0,40,HIGH SCHOOL,NOT LEGAL
3,4,80,HIGH SCHOOL,NOT LEGAL
4,0,56,LESS THAN HIGH SCHOOL,NOT LEGAL
3,2,30,HIGH SCHOOL,NOT LEGAL
5,0,40,JUNIOR COLLEGE,LEGAL
9,0,40,HIGH SCHOOL,NOT LEGAL
2,3,36,LESS THAN HIGH SCHOOL,LEGAL
3,0,40,GRADUATE,NOT LEGAL
3,0,70,LESS THAN HIGH SCHOOL,LEGAL
6,0,37,JUNIOR COLLEGE,NOT LEGAL
0,0,20,JUNIOR COLLEGE,NOT LEGAL
1,0,80,JUNIOR COLLEGE,NOT LEGAL
4,1,40,HIGH SCHOOL,LEGAL
4,0,56,HIGH SCHOOL,NOT LEGAL
1,0,45,JUNIOR COLLEGE,NOT LEGAL
4,0,55,LESS THAN HIGH SCHOOL,NOT LEGAL
5,0,50,BACHELOR,LEGAL
10,0,12,HIGH SCHOOL,LEGAL
3,2,10,HIGH SCHOOL,NOT LEGAL
2,4,52,LESS THAN HIGH SCHOOL,LEGAL
4,0,80,HIGH SCHOOL,NOT LEGAL
8,0,55,GRADUATE,NOT LEGAL
10,30,70,LESS THAN HIGH SCHOOL,LEGAL
8,0,40,HIGH SCHOOL,LEGAL
3,5,40,HIGH SCHOOL,LEGAL
0,0,40,JUNIOR COLLEGE,NOT LEGAL
8,0,9,HIGH SCHOOL,LEGAL
2,15,45,GRADUATE,NOT LEGAL
2,0,24,HIGH SCHOOL,LEGAL
2,0,36,JUNIOR COLLEGE,NOT LEGAL
4,0,30,HIGH SCHOOL,NOT LEGAL
4,0,70,BACHELOR,LEGAL
4,0,4,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,70,LESS THAN HIGH SCHOOL,NOT LEGAL
0,0,52,HIGH SCHOOL,NOT LEGAL
3,0,37,HIGH SCHOOL,NOT LEGAL
3,5,60,JUNIOR COLLEGE,NOT LEGAL
2,3,45,HIGH SCHOOL,LEGAL
2,0,40,GRADUATE,NOT LEGAL
4,0,40,HIGH SCHOOL,LEGAL
6,2,9,LESS THAN HIGH SCHOOL,LEGAL
4,0,45,HIGH SCHOOL,LEGAL
3,15,50,HIGH SCHOOL,NOT LEGAL
2,1,55,LESS THAN HIGH SCHOOL,NOT LEGAL
4,0,50,HIGH SCHOOL,NOT LEGAL
6,10,20,HIGH SCHOOL,NOT LEGAL
3,0,60,JUNIOR COLLEGE,NOT LEGAL
5,0,35,HIGH SCHOOL,LEGAL
4,0,50,BACHELOR,LEGAL
12,0,84,HIGH SCHOOL,LEGAL
1,4,16,BACHELOR,NOT LEGAL
2,0,60,HIGH SCHOOL,LEGAL
4,26,60,HIGH SCHOOL,LEGAL
6,0,40,BACHELOR,NOT LEGAL
6,2,40,HIGH SCHOOL,NOT LEGAL
3,1,40,BACHELOR,LEGAL
6,2,40,GRADUATE,LEGAL
4,0,40,HIGH SCHOOL,NOT LEGAL
4,3,40,LESS THAN HIGH SCHOOL,NOT LEGAL
2,15,35,HIGH SCHOOL,NOT LEGAL
6,5,16,BACHELOR,LEGAL
4,5,50,LESS THAN HIGH SCHOOL,NOT LEGAL
5,0,10,BACHELOR,LEGAL
5,2,40,HIGH SCHOOL,NOT LEGAL
6,0,38,LESS THAN HIGH SCHOOL,NOT LEGAL
3,0,40,HIGH SCHOOL,LEGAL
5,1,49,BACHELOR,LEGAL
6,0,40,HIGH SCHOOL,LEGAL
